RANK,GRADE,NAME,VIDEOS,SUBSCRIBERS,VIEWES
1,A++,T-Series,13629,105783888,76945588449
2,A,PewDiePie,3898,97853589,22298927681
3,A+,5-Minute Crafts,3341,58629572,14860695079
4,A++,Cocomelon - Nursery Rhymes,441,53163816,33519273951
5,A++,SET India,31923,51784081,36464793233
6,A+,Canal KondZilla,1100,50560964,25446405744
7,A+,WWE,42404,46098586,34085586984
8,B+,Justin Bieber,134,45873439,625649566
9,A,Dude Perfect,209,43796634,8354321862
10,A+,Badabun,4406,41131131,13175713909
11,A+,Ed Sheeran,151,40883164,17420235764
12,A+,Zee Music Company,4305,40675210,18597258212
13,B+,HolaSoyGerman.,137,39549835,3963774207
14,B,EminemMusic,117,38321579,723182792
15,A,Marshmello,323,36937062,6495653129
16,B+,Ariana Grande,128,36748165,852378143
17,B+,whinderssonnunes,363,36059417,2965932071
18,A,JuegaGerman,1635,35648722,9524890177
19,A-,elrubiusOMG,809,35324033,7772447040
20,B,Taylor Swift,166,34920060,255089844
21,B-,Katy Perry,97,34416819,361332307
22,A,Felipe Neto,1872,33549096,7458531306
23,A,JustinBieberVEVO,122,33514535,18873475304
24,A,Fernanfloo,534,33378699,7201866552
25,A,TheEllenShow,10542,33362512,16519572219
